"","x"
"1",22
"2",22.5
"3",21.5
"4",21.5
"5",22
"6",22.5
"7",23
"8",23
"9",23.5
"10",23
"11",22
"12",21.5
"13",21.5
"14",22
"15",22.5
"16",23
"17",23
"18",23.5
"19",23
"20",22.5
"21",21.5
"22",21
"23",21.5
"24",22
"25",22.5
"26",23
"27",23
"28",23.5
"29",23
"30",22
"31",21.5
"32",21.5
"33",21.5
"34",22
"35",22.5
"36",23
"37",23.5
"38",23
"39",22.5
"40",21.5
"41",21.5
"42",21.5
"43",22
"44",22.5
"45",23
"46",23.5
"47",23
"48",22
"49",21.5
"50",21
"51",21.5
"52",22
"53",22.4142804698972
"54",22.4142804698972
"55",23.5
"56",23
"57",22
"58",21.5
"59",21
"60",21.5
"61",22
"62",22.5
"63",23
"64",23.5
"65",23
"66",22.4142804698972
"67",21.5
"68",21.5
"69",21.5
"70",22
"71",22.5
"72",23
"73",23.5
"74",23
"75",22
"76",22.4142804698972
"77",22.4142804698972
"78",23.5
"79",23
"80",22.5
"81",21.5
"82",21.5
"83",22
"84",22.5
"85",22.5
"86",23
"87",23.5
"88",23
"89",22.5
"90",21.5
"91",21
"92",21.5
"93",22
"94",22.5
"95",23
"96",23.5
"97",23
"98",22.5
"99",21.5
"100",21.5
"101",21.5
"102",22
"103",22.5
"104",23
"105",23.5
"106",23.5
"107",22.5
"108",21.5
"109",21.5
"110",21.5
"111",22
"112",22.5
"113",23
"114",23.5
"115",23
"116",22
"117",21.5
"118",21.5
"119",21.5
"120",22
"121",22.5
"122",23
"123",23
"124",23
"125",22.5
"126",21.5
"127",21.5
"128",22
"129",22
"130",22.5
"131",23
"132",23.5
"133",23.5
"134",22.5
"135",21.5
"136",21.5
"137",21.5
"138",22
"139",22.5
"140",23
"141",23.5
"142",23.5
"143",23.5
"144",23
"145",22
"146",21.5
"147",21.5
"148",22
"149",22.5
"150",23
"151",23
"152",23.5
"153",24
"154",24
"155",23
"156",22.5
"157",21.5
"158",21.5
"159",22
"160",22.5
"161",23
"162",23
"163",23.5
"164",23.5
"165",22.5
"166",21.5
"167",21
"168",21.5
"169",22
"170",22.5
"171",23
"172",23
"173",23
"174",22.5
"175",21.5
"176",21.5
"177",21.5
"178",22
"179",22.5
"180",23
"181",23.5
"182",23.5
"183",22.5
"184",21.5
"185",21.5
"186",21.5
"187",22
"188",22.5
"189",23
"190",23.5
"191",23
"192",22.5
"193",21.5
"194",21.5
"195",22
"196",22.5
"197",22.5
"198",23
"199",23.5
"200",23.5
"201",22.5
"202",21.5
"203",21
"204",21.5
"205",22
"206",22.5
"207",23
"208",23.5
"209",23.5
"210",23.5
"211",23
"212",22
"213",21.5
"214",21.5
"215",21.5
"216",22
"217",22.5
"218",23
"219",23.5
"220",23.5
"221",22.5
"222",21.5
"223",21.5
"224",21.5
"225",22
"226",22.5
"227",23
"228",23.5
"229",23.5
"230",24
"231",23
"232",22
"233",21.5
"234",21.5
"235",22
"236",22.5
"237",23
"238",23
"239",23.5
"240",23.5
"241",22.5
"242",22
"243",21.5
"244",21.5
"245",22
"246",22.5
"247",23
"248",23.5
"249",23.5
"250",22.5
"251",21.5
"252",21
"253",21.5
"254",22
"255",22.5
"256",23
"257",23.5
"258",23.5
"259",23.5
"260",22.5
"261",22
"262",21.5
"263",21.5
"264",22
"265",22.5
"266",23
"267",23.5
"268",23.5
"269",23.5
"270",23
"271",22
"272",21.5
"273",21.5
"274",22
"275",22
"276",22.5
"277",23
"278",23.5
"279",23.5
"280",22.5
"281",21.5
"282",21.5
"283",21.5
"284",22
"285",22.5
"286",23
"287",23.5
"288",23.5
"289",22.5
"290",21.5
"291",21
"292",21.5
"293",22
"294",22.5
"295",23
"296",23.5
"297",23.5
"298",22.5
"299",21.5
"300",21.5
"301",21.5
"302",22
"303",22.5
"304",23
"305",23.5
"306",23.5
"307",22.5
"308",21.5
"309",21.5
"310",21.5
"311",22
"312",22.5
"313",23
"314",23.5
"315",23.5
"316",22.5
"317",21.5
"318",21.5
"319",21.5
"320",22
"321",22.5
"322",23
"323",23.5
"324",23.5
"325",22.5
"326",22
"327",21.5
"328",21.5
"329",22
"330",22.5
"331",23
"332",23.5
"333",23.5
"334",22.5
"335",21.5
"336",21
"337",21.5
"338",22
"339",22.5
"340",23
"341",23
"342",23.5
"343",23.5
"344",22.5
"345",21.5
"346",21
"347",21.5
"348",22
"349",22.5
"350",23
"351",23
"352",23.5
"353",23.5
"354",22.5
"355",22
"356",21.5
"357",21.5
"358",22
"359",22.5
"360",23
"361",23.5
"362",23.5
"363",22.5
"364",21.5
"365",21.5
"366",21.5
"367",22
"368",22.5
"369",23
"370",23.5
"371",23.5
"372",22.5
"373",21.5
"374",21
"375",21.5
"376",22
"377",22.5
"378",23
"379",23
"380",23.5
"381",22.5
"382",21.5
"383",21
"384",21.5
"385",22
"386",22.5
"387",23
"388",23.5
"389",23.5
"390",22.5
"391",21.5
"392",21
"393",21.5
"394",22
"395",22.5
"396",23
"397",23
"398",23.5
"399",23.5
"400",22.5
"401",22
"402",21.5
"403",21.5
"404",22
"405",22.5
"406",23
"407",23.5
"408",23.5
"409",22.5
"410",22
"411",21.5
"412",22
"413",22.5
"414",22.5
"415",23
"416",23.5
"417",23.5
"418",22.5
"419",22
"420",21.5
"421",21.5
"422",22
"423",22.5
"424",23
"425",23.5
"426",23.5
"427",22.5
"428",21.5
"429",21.5
"430",21.5
"431",22
"432",22.5
"433",23
"434",23.5
"435",23.5
"436",22.5
"437",22
"438",21.5
"439",21.5
"440",22
"441",22.5
"442",23
"443",23
"444",23.5
"445",22.5
"446",21.5
"447",21.5
"448",21.5
"449",22
"450",22.5
"451",23
"452",23.5
"453",23.5
"454",22.5
"455",22
"456",21
"457",21.5
"458",22
"459",22.5
"460",23
"461",23
"462",23.5
"463",22.5
"464",21.5
"465",21
"466",21.5
"467",22
"468",22.5
"469",23
"470",23
"471",23.5
"472",22.5
"473",21.5
"474",21
"475",21
"476",21.5
"477",22
"478",22.5
"479",23
"480",23.5
"481",23.5
"482",22.5
"483",21.5
"484",21
"485",21.5
"486",22
"487",22.5
"488",23
"489",23.5
"490",23.5
"491",22.5
"492",21.5
"493",21
"494",21.5
"495",22
"496",22.5
"497",23
"498",23
"499",23.5
"500",22.5
"501",21.5
"502",21
"503",21.5
"504",22
"505",22.5
"506",22.5
"507",23
"508",23.5
"509",23.5
"510",23
"511",22
"512",21.5
"513",21.5
"514",22
"515",22.5
"516",23
"517",23
"518",23.5
"519",22.5
"520",22
"521",21
"522",21.5
"523",22
"524",22.5
"525",22.5
"526",23
"527",23.5
"528",23.5
"529",23
"530",22
"531",21
"532",21
"533",21.5
"534",22
"535",22.5
"536",23
"537",23.5
"538",23.5
"539",23
"540",22
"541",21.5
"542",21.5
"543",22
"544",22.5
"545",23
"546",23
"547",23.5
"548",22.5
"549",22
"550",21
"551",21.5
"552",22
"553",22.5
"554",22.5
"555",23
"556",23.5
"557",23.5
"558",23
"559",22
"560",21
"561",21.5
"562",22
"563",22.5
"564",22.5
"565",23
"566",23.5
"567",23.5
"568",23
"569",22
"570",21.5
"571",21.5
"572",22
"573",22.5
"574",23
"575",23
"576",23.5
"577",22.5
"578",22
"579",21.5
"580",21.5
"581",22
"582",22.5
"583",23
"584",23
"585",23.5
"586",22.5
"587",22
"588",21
"589",21.5
"590",22
"591",22.5
"592",23
"593",23
"594",23.5
"595",22.5
"596",22
"597",21.5
"598",21.5
"599",22
"600",22.5
"601",23
"602",23
"603",23.5
"604",22.5
"605",22
"606",21.5
"607",21.5
"608",22
"609",22.5
"610",23
"611",23
"612",23.5
"613",22.5
"614",22
"615",21.5
"616",21.5
"617",22
"618",22.5
"619",23
"620",23
"621",23.5
"622",23
"623",22
"624",21.5
"625",21.5
"626",22
"627",22.5
"628",23
"629",23
"630",23.5
"631",22.5
"632",22
"633",21.5
"634",21.5
"635",22
"636",22.5
"637",23
"638",23
"639",23.5
"640",23
"641",22
"642",21
"643",21
"644",21.5
"645",22
"646",22.5
"647",23
"648",23.5
"649",23.5
"650",23
"651",22
"652",21.5
"653",21.5
"654",22
"655",22.5
"656",23
"657",23
"658",23.5
"659",23
"660",22
"661",21.5
"662",21.5
"663",22
"664",22.5
"665",22.5
"666",23
"667",23.5
"668",23.5
"669",23
"670",22
"671",21.5
"672",21.5
"673",22
"674",22.5
"675",23
"676",23
"677",23.5
"678",23
"679",22
"680",21
"681",21.5
"682",22
"683",22.5
"684",22.5
"685",23
"686",23.5
"687",23.5
"688",23
"689",22
"690",21.5
"691",21.5
"692",22
"693",22.5
"694",23
"695",23
"696",23.5
"697",23
"698",22
"699",21.5
"700",21.5
"701",22
"702",22.5
"703",23
"704",23
"705",23.5
"706",23
"707",22
"708",21.5
"709",21.5
"710",22
"711",22.5
"712",22.5
"713",23
"714",23.5
"715",23.5
"716",23
"717",22
"718",21.5
"719",21.5
"720",22
"721",22.5
"722",22.5
"723",23
"724",23.5
"725",23.5
"726",23
"727",22
"728",21.5
"729",21.5
"730",22
"731",22.5
"732",23
"733",23
"734",23.5
"735",23
"736",22
"737",21
"738",21.5
"739",22
"740",22.5
"741",22.5
"742",23
"743",23.5
"744",22.5
"745",22
"746",21.5
"747",21.5
"748",22
"749",22.5
"750",23
"751",23
"752",23.5
"753",23
"754",22
"755",21.5
"756",21.5
"757",22
"758",22.5
"759",23
"760",23
"761",23.5
"762",23.5
"763",23
"764",22
"765",21.5
"766",21.5
"767",21.5
"768",22
"769",22.5
"770",23
"771",23.5
"772",23.5
"773",23
"774",22
"775",21.5
"776",21.5
"777",22
"778",22.5
"779",23
"780",23
"781",23.5
"782",23.5
"783",23
"784",22
"785",21.5
"786",21.5
"787",22
"788",22.5
"789",22.5
"790",23
"791",23.5
"792",23.5
"793",23
"794",22
"795",21.5
"796",21.5
"797",22
"798",22.5
"799",23
"800",23
"801",23.5
"802",23
"803",22
"804",21
"805",22.4142804698972
"806",22.4142804698972
"807",22.5
"808",23
"809",23
"810",23.5
"811",23
"812",22
"813",22.4142804698972
"814",22.5
"815",23
"816",23
"817",23.5
"818",23
"819",22
"820",21
"821",21.5
"822",22
"823",22.5
"824",22.5
"825",23
"826",23.5
"827",23.5
"828",23
"829",22
"830",21
"831",21.5
"832",22
"833",22
"834",22.5
"835",23
"836",23.5
"837",23
"838",22
"839",21
"840",21.5
"841",21.5
"842",22
"843",22.5
"844",23
"845",23.5
"846",23.5
"847",23
"848",22
"849",21.5
"850",21.5
"851",22
"852",22.4142804698972
"853",22.4142804698972
"854",23
"855",23.5
"856",23.5
"857",23.5
"858",22.5
"859",21.5
"860",21
"861",21.5
"862",22
"863",22.5
"864",23
"865",23
"866",23.5
"867",23.5
"868",23.5
"869",22.5
"870",22
"871",21.5
"872",21.5
"873",22
"874",22.5
"875",23
"876",23
"877",23.5
"878",23
"879",22
"880",21.5
"881",21.5
"882",22
"883",22.5
"884",22.5
"885",23
"886",23.5
"887",23
"888",22
"889",21
"890",21.5
"891",22
"892",22
"893",22.5
"894",23
"895",23.5
"896",23.5
"897",23
"898",22
"899",21.5
"900",21.5
"901",21.5
"902",22
"903",22.5
"904",23
"905",23.5
"906",23.5
"907",23
"908",22.4142804698972
"909",22.4142804698972
"910",22.5
"911",23
"912",23.5
"913",23.5
"914",23
"915",22
"916",21.5
"917",21.5
"918",21.5
"919",22
"920",22.4142804698972
"921",23
"922",23.5
"923",23.5
"924",23
"925",22.5
"926",21.5
"927",21.5
"928",22
"929",22.5
"930",22.5
"931",22.4142804698972
"932",22.4142804698972
"933",22
"934",21
"935",21.5
"936",22
"937",22
"938",22.5
"939",23
"940",23.5
"941",23.5
"942",23
"943",22
"944",21.5
"945",21.5
"946",22
"947",22.5
"948",23
"949",23
"950",23.5
"951",23
"952",22
"953",21
"954",21
"955",21.5
"956",22
"957",22.5
"958",23
"959",23
"960",23.5
"961",23.5
"962",23.5
"963",23
"964",22
"965",21.5
"966",21.5
"967",22
"968",22.5
"969",23
"970",23
"971",23.5
"972",23
"973",22
"974",21.5
"975",21.5
"976",22
"977",22.5
"978",22.5
"979",23
"980",23.5
"981",23.5
"982",23
"983",22.5
"984",21.5
"985",21.5
"986",22
"987",22
"988",22.5
"989",23
"990",23.5
"991",23
"992",22
"993",21.5
"994",21.5
"995",21.5
"996",22
"997",22.5
"998",23
"999",23.5
"1000",23.5
"1001",23
"1002",22
"1003",21.5
"1004",21.5
"1005",22
"1006",22.5
"1007",22.5
"1008",23
"1009",23.5
"1010",23
"1011",22
"1012",21.5
"1013",21.5
"1014",22
"1015",22.5
"1016",22.5
"1017",23
"1018",23.5
"1019",23
"1020",22
"1021",21.5
"1022",21.5
"1023",22
"1024",22.5
"1025",22.5
"1026",23
"1027",23.5
"1028",23.5
"1029",23
"1030",22.5
"1031",21.5
"1032",21
"1033",21.5
"1034",22
"1035",22.5
"1036",23
"1037",23.5
"1038",23.5
"1039",23
"1040",22.5
"1041",21.5
"1042",21.5
"1043",21.5
"1044",22
"1045",22.5
"1046",23
"1047",23.5
"1048",23.5
"1049",23
"1050",22
"1051",21.5
"1052",21
"1053",21.5
"1054",22
"1055",22.5
"1056",23
"1057",23
"1058",23.5
"1059",23
"1060",22.5
"1061",21.5
"1062",21
"1063",21.5
"1064",22
"1065",22.5
"1066",23
"1067",23
"1068",23.5
"1069",23
"1070",22
"1071",21.5
"1072",21.5
"1073",22
"1074",22.5
"1075",22.5
"1076",23
"1077",23.5
"1078",23.5
"1079",23.5
"1080",22.5
"1081",21.5
"1082",21.5
"1083",21.5
"1084",22
"1085",22.5
"1086",23
"1087",23.5
"1088",23.5
"1089",23.5
"1090",22.5
"1091",21.5
"1092",21.5
"1093",21.5
"1094",22
"1095",22.5
"1096",23
"1097",23.5
"1098",23.5
"1099",23.5
"1100",22.5
"1101",21.5
"1102",21.5
"1103",22
"1104",22.5
"1105",23
"1106",23
"1107",23.5
"1108",23
"1109",22
"1110",21.5
"1111",21.5
"1112",22
"1113",22
"1114",22.5
"1115",23
"1116",23.5
"1117",23
"1118",22.5
"1119",21.5
"1120",21.5
"1121",22
"1122",22.5
"1123",22.5
"1124",23
"1125",23.5
"1126",23
"1127",22
"1128",21.5
"1129",21.5
"1130",21.5
"1131",22
"1132",22.5
"1133",23
"1134",23.5
"1135",23.5
"1136",23.5
"1137",22.5
"1138",21.5
"1139",21.5
"1140",21.5
"1141",22.4142804698972
"1142",22.4142804698972
"1143",23
"1144",23.5
"1145",23.5
"1146",22.4142804698972
"1147",21.5
"1148",21.5
"1149",22
"1150",22.5
"1151",23
"1152",23
"1153",23.5
"1154",23.5
"1155",22.5
"1156",21.5
"1157",21
"1158",21.5
"1159",22
"1160",22.5
"1161",23
"1162",23
"1163",23.5
"1164",23.5
"1165",22
"1166",21.5
"1167",21.5
"1168",21.5
"1169",22
"1170",22.5
"1171",23
"1172",23.5
"1173",23.5
"1174",23.5
"1175",22.5
"1176",21.5
"1177",22.4142804698972
"1178",22.4142804698972
"1179",22
"1180",22.5
"1181",23
"1182",23
"1183",23.5
"1184",23.5
"1185",22.4142804698972
"1186",22.4142804698972
"1187",22.4142804698972
"1188",22.4142804698972
"1189",23.5
"1190",23.5
"1191",23.5
"1192",22.5
"1193",21.5
"1194",21.5
"1195",21.5
"1196",22
"1197",22.5
"1198",23
"1199",23.5
"1200",23.5
"1201",23.5
"1202",22.5
"1203",21.5
"1204",21
"1205",21.5
"1206",22
"1207",22.5
"1208",23
"1209",23
"1210",23.5
"1211",23.5
"1212",22.5
"1213",21.5
"1214",21.5
"1215",21.5
"1216",22
"1217",22.5
"1218",23
"1219",23.5
"1220",23.5
"1221",23.5
"1222",22.5
"1223",21.5
"1224",21
"1225",21.5
"1226",22
"1227",22.5
"1228",23
"1229",23.5
"1230",23.5
"1231",23.5
"1232",22.5
"1233",21.5
"1234",21
"1235",21.5
"1236",22
"1237",22.5
"1238",23
"1239",23
"1240",23.5
"1241",23.5
"1242",22.5
"1243",21.5
"1244",21.5
"1245",21.5
"1246",22
"1247",22.5
"1248",23
"1249",23.5
"1250",23.5
"1251",23.5
"1252",22.5
"1253",22
"1254",21
"1255",21.5
"1256",22
"1257",22.5
"1258",23
"1259",23
"1260",23.5
"1261",23.5
"1262",22.5
"1263",21.5
"1264",21
"1265",21.5
"1266",22
"1267",22.5
"1268",23
"1269",23
"1270",23.5
"1271",23.5
"1272",22.5
"1273",21.5
"1274",21.5
"1275",21.5
"1276",22
"1277",22.5
"1278",23
"1279",23
"1280",23.5
"1281",23.5
"1282",22.5
"1283",21.5
"1284",21
"1285",21.5
"1286",22
"1287",22.5
"1288",23
"1289",23
"1290",22.4142804698972
"1291",23.5
"1292",22.5
"1293",21.5
"1294",21
"1295",22.4142804698972
"1296",22
"1297",22.5
"1298",23
"1299",23
"1300",23.5
"1301",23.5
"1302",22.5
"1303",21.5
"1304",21
"1305",21.5
"1306",22
"1307",22.5
"1308",23
"1309",23
"1310",23.5
"1311",23.5
"1312",22.5
"1313",21.5
"1314",21.5
"1315",21.5
"1316",22
"1317",22.5
"1318",23
"1319",23.5
"1320",23.5
"1321",23.5
"1322",22.5
"1323",21.5
"1324",21.5
"1325",21.5
"1326",22
"1327",22.5
"1328",23
"1329",23.5
"1330",23
"1331",22.5
"1332",21.5
"1333",21.5
"1334",21.5
"1335",22
"1336",22.5
"1337",23
"1338",23
"1339",23.5
"1340",23.5
"1341",22.5
"1342",21.5
"1343",21.5
"1344",21.5
"1345",22
"1346",22.5
"1347",23
"1348",23.5
"1349",23.5
"1350",22.5
"1351",22.4142804698972
"1352",21.5
"1353",22
"1354",22
"1355",22.5
"1356",23
"1357",23.5
"1358",23.5
"1359",22.5
"1360",21.5
"1361",21.5
"1362",21.5
"1363",22
"1364",22.5
"1365",23
"1366",23
"1367",23.5
"1368",23.5
"1369",22.5
"1370",21.5
"1371",21
"1372",21.5
"1373",22
"1374",22.5
"1375",23
"1376",23.5
"1377",23.5
"1378",22.5
"1379",21.5
"1380",21.5
"1381",21.5
"1382",22
"1383",22.5
"1384",23
"1385",23.5
"1386",23.5
"1387",22.5
"1388",21.5
"1389",21
"1390",21.5
"1391",22
"1392",22.5
"1393",23
"1394",23
"1395",23
"1396",22.5
"1397",21.5
"1398",21.5
"1399",21.5
"1400",22
"1401",22.5
"1402",23
"1403",23.5
"1404",23.5
"1405",22.5
"1406",21.5
"1407",21.5
"1408",21.5
"1409",22
"1410",22.5
"1411",23
"1412",23.5
"1413",23.5
"1414",22.5
"1415",21.5
"1416",21.5
"1417",21.5
"1418",22
"1419",22.5
"1420",23
"1421",23.5
"1422",23.5
"1423",22.5
"1424",21.5
"1425",21
"1426",21.5
"1427",22
"1428",22.5
"1429",23
"1430",23.5
"1431",23.5
"1432",22.5
"1433",21.5
"1434",21.5
"1435",21.5
"1436",22
"1437",22.5
"1438",23
"1439",23.5
"1440",23.5
"1441",22.5
"1442",21.5
"1443",21.5
"1444",21.5
"1445",22
"1446",22.5
"1447",23
"1448",23.5
"1449",23.5
"1450",22.5
"1451",21.5
"1452",21.5
"1453",21.5
"1454",22
"1455",22.5
"1456",23
"1457",23.5
"1458",23.5
"1459",22.5
"1460",21.5
"1461",21.5
"1462",21.5
"1463",22
"1464",22.5
"1465",23
"1466",23
"1467",23.5
"1468",22.5
"1469",21.5
"1470",22.4142804698972
"1471",22.4142804698972
"1472",22.5
"1473",21.5
"1474",22.4142804698972
"1475",22.4142804698972
"1476",23.5
"1477",22.4142804698972
"1478",21.5
"1479",21
"1480",22.4142804698972
"1481",22.4142804698972
"1482",23.5
"1483",22.5
"1484",22
"1485",21
"1486",21.5
"1487",22
"1488",22.5
"1489",23
"1490",23
"1491",23.5
"1492",22.5
"1493",21.5
"1494",21
"1495",21.5
"1496",22.4142804698972
"1497",23
"1498",23.5
"1499",23.5
"1500",24
"1501",23.5
"1502",22.5
"1503",21.5
"1504",22.4142804698972
"1505",22.4142804698972
"1506",23
"1507",23.5
"1508",23.5
"1509",22.5
"1510",22
"1511",21
"1512",21.5
"1513",22
"1514",22.5
"1515",23
"1516",23
"1517",23.5
"1518",22.5
"1519",22
"1520",21.5
"1521",21.5
"1522",22
"1523",22.5
"1524",23
"1525",23.5
"1526",23.5
"1527",22.5
"1528",22
"1529",21
"1530",21.5
"1531",22
"1532",22.4142804698972
"1533",22.4142804698972
"1534",21.5
"1535",21.5
"1536",21.5
"1537",22
"1538",22.5
"1539",23
"1540",23
"1541",23.5
"1542",22.5
"1543",21.5
"1544",21
"1545",21.5
"1546",22
"1547",22.5
"1548",23
"1549",23.5
"1550",23.5
"1551",22.5
"1552",22
"1553",21.5
"1554",21.5
"1555",22
"1556",22.5
"1557",23
"1558",23.5
"1559",23.5
"1560",22.5
"1561",21.5
"1562",21.5
"1563",21.5
"1564",22
"1565",22.5
"1566",23
"1567",23.5
"1568",23.5
"1569",24
"1570",23.5
"1571",22.5
"1572",21.5
"1573",21.5
"1574",21.5
"1575",22
"1576",22.5
"1577",23
"1578",23.5
"1579",23.5
"1580",23
"1581",22
"1582",21
"1583",21.5
"1584",22
"1585",22.5
"1586",23
"1587",23
"1588",23.5
"1589",22.5
"1590",22
"1591",21
"1592",21.5
"1593",22
"1594",22.5
"1595",23
"1596",23
"1597",23.5
"1598",22.5
"1599",22
"1600",21
"1601",21.5
"1602",22
"1603",22.5
"1604",23
"1605",23
"1606",23.5
"1607",22.5
"1608",21.5
"1609",21.5
"1610",21.5
"1611",22
"1612",22.5
"1613",23
"1614",23.5
"1615",23.5
"1616",22.5
"1617",22
"1618",21
"1619",21
"1620",21.5
"1621",22
"1622",22
"1623",23
"1624",23.5
"1625",23.5
"1626",23
"1627",22
"1628",21.5
"1629",21.5
"1630",21.5
"1631",22
"1632",22.5
"1633",23
"1634",23.5
"1635",23.5
"1636",23
"1637",22
"1638",21
"1639",21
"1640",21.5
"1641",22
"1642",22.5
"1643",23
"1644",23.5
"1645",23.5
"1646",23
"1647",22
"1648",21.5
"1649",21.5
"1650",22
"1651",22.5
"1652",23
"1653",23
"1654",23.5
"1655",23
"1656",22
"1657",22.4142804698972
"1658",22.4142804698972
"1659",22
"1660",22.5
"1661",23
"1662",23.5
"1663",23.5
"1664",22.5
"1665",22
"1666",21.5
"1667",21.5
"1668",22
"1669",22.5
"1670",23
"1671",23
"1672",23.5
"1673",23
"1674",22
"1675",21.5
"1676",21.5
"1677",22
"1678",22.5
"1679",23
"1680",23
"1681",23.5
"1682",23
"1683",22
"1684",21.5
"1685",21.5
"1686",22
"1687",22.5
"1688",23
"1689",23
"1690",23.5
"1691",23
"1692",22
"1693",21.5
"1694",21.5
"1695",22
"1696",22.5
"1697",23
"1698",23.5
"1699",23.5
"1700",23
"1701",22
"1702",21
"1703",21.5
"1704",22
"1705",22
"1706",22.4142804698972
"1707",22.4142804698972
"1708",23.5
"1709",23
"1710",22
"1711",21.5
"1712",21.5
"1713",22
"1714",22.5
"1715",22.5
"1716",23
"1717",23.5
"1718",23.5
"1719",23
"1720",22
"1721",21.5
"1722",21.5
"1723",22
"1724",22.5
"1725",22.5
"1726",23
"1727",23.5
"1728",23
"1729",22
"1730",21.5
"1731",21.5
"1732",22
"1733",22.5
"1734",22.5
"1735",23
"1736",23.5
"1737",22.5
"1738",21.5
"1739",21
"1740",21
"1741",21.5
"1742",22
"1743",22.5
"1744",23
"1745",23.5
"1746",23.5
"1747",23
"1748",22
"1749",21.5
"1750",21.5
"1751",22
"1752",22.5
"1753",23
"1754",23
"1755",23.5
"1756",23
"1757",22
"1758",21.5
"1759",21.5
"1760",22
"1761",22.5
"1762",23
"1763",23
"1764",23.5
"1765",23
"1766",22
"1767",21.5
"1768",21.5
"1769",22
"1770",22.5
"1771",22.5
"1772",23
"1773",23.5
"1774",23
"1775",22
"1776",21.5
"1777",21.5
"1778",22
"1779",22.5
"1780",23
"1781",23
"1782",23.5
"1783",23
"1784",22
"1785",21.5
"1786",21.5
"1787",22
"1788",22.5
"1789",23
"1790",23
"1791",23.5
"1792",23
"1793",22
"1794",21.5
"1795",21.5
"1796",22
"1797",22.5
"1798",23
"1799",23
"1800",23.5
"1801",22.5
"1802",22
"1803",21
"1804",21
"1805",21.5
"1806",22
"1807",22.5
"1808",23
"1809",23.5
"1810",23.5
"1811",23
"1812",22
"1813",21.5
"1814",21.5
"1815",21.5
"1816",22.5
"1817",22.5
"1818",23
"1819",23.5
"1820",23.5
"1821",23.5
"1822",22.5
"1823",21.5
"1824",21.5
"1825",21.5
"1826",22
"1827",22.5
"1828",23
"1829",23.5
"1830",23.5
"1831",23
"1832",22
"1833",21.5
"1834",21.5
"1835",22
"1836",22.5
"1837",22.5
"1838",23
"1839",23.5
"1840",23
"1841",22
"1842",21.5
"1843",21.5
"1844",22
"1845",22.5
"1846",23
"1847",23
"1848",23.5
"1849",23
"1850",22
"1851",21
"1852",21.5
"1853",22
"1854",22.5
"1855",22.5
"1856",23
"1857",23.5
